[[0, 0, 67, 53], [-60, 106]]
[[0, 0, 67, 53], [5, 109]]
[[0, 0, 67, 53], [35, 109]]
[[0, 0, 67, 53], [46, 109]]
[[0, 0, 67, 53], [50, 109]]
[[0, 0, 67, 53], [53, 109]]
[[0, 0, 67, 53], [53, 109]]
[[0, 0, 67, 53], [53, 109]]
[[0, 0, 67, 53], [53, 109]]
[[0, 0, 67, 53], [53, 109]]
[[0, 0, 67, 53], [53, 109]]
[[67, 0, 67, 58], [53, 109]]
[[67, 0, 67, 58], [42, 109]]
[[67, 0, 67, 58], [9, 109]]
[[67, 0, 67, 58], [-50, 110]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
[[67, 0, 67, 58], [-72, 111]]
