[[39, 112, 131, 33], [318, 119]]
[[39, 112, 131, 33], [267, 119]]
[[39, 112, 131, 33], [215, 119]]
[[39, 112, 131, 33], [192, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [195, 119]]
[[39, 112, 131, 33], [199, 113]]
[[44, 201, 126, 54], [217, 89]]
[[44, 201, 126, 54], [231, 78]]
[[44, 201, 126, 54], [236, 75]]
[[44, 201, 126, 54], [239, 72]]
[[44, 201, 126, 54], [241, 70]]
[[44, 201, 126, 54], [245, 77]]
[[44, 201, 126, 54], [244, 109]]
[[44, 201, 126, 54], [231, 148]]
[[169, 87, 87, 85], [246, 154]]
[[169, 87, 87, 85], [250, 188]]
[[169, 87, 87, 85], [237, 195]]
[[169, 87, 87, 85], [220, 196]]
[[169, 87, 87, 85], [209, 196]]
[[169, 87, 87, 85], [191, 181]]
[[169, 87, 87, 85], [196, 174]]
[[169, 87, 87, 85], [214, 169]]
[[169, 87, 87, 85], [219, 166]]
[[169, 87, 87, 85], [224, 165]]
[[169, 87, 87, 85], [234, 167]]
[[169, 87, 87, 85], [247, 172]]
[[169, 87, 87, 85], [265, 196]]
[[169, 87, 87, 85], [247, 214]]
[[169, 87, 87, 85], [220, 196]]
[[169, 87, 87, 85], [209, 196]]
[[169, 87, 87, 85], [191, 181]]
[[169, 87, 87, 85], [196, 174]]
[[169, 87, 87, 85], [214, 169]]
[[169, 87, 87, 85], [219, 166]]
[[169, 87, 87, 85], [224, 165]]
[[169, 87, 87, 85], [234, 167]]
[[169, 87, 87, 85], [247, 172]]
[[169, 87, 87, 85], [265, 196]]
[[169, 87, 87, 85], [247, 214]]
